login,PR,commit,issue,repo,unknown,acc_type
AlanKuurstra,2.0,0.0,2.0,1.0,0.0,
AlanPearl,0.0,0.0,1.0,0.0,0.0,
Alansortorz,0.0,0.0,0.0,1.0,0.0,
Alba-Sk,0.0,0.0,0.0,1.0,0.0,
AlbanWaxin,0.0,0.0,3.0,0.0,0.0,
Albarran-dev,1.0,0.0,0.0,1.0,0.0,
AlbericoD,0.0,0.0,0.0,1.0,0.0,
AlbertFX91,0.0,0.0,0.0,1.0,0.0,
AlbertXingZhang,1.0,0.0,1.0,1.0,0.0,
Alberto-GS,0.0,0.0,2.0,0.0,0.0,
AlbertoPdRF,0.0,0.0,2.0,0.0,0.0,
Alby-Git,2.0,0.0,0.0,0.0,2.0,
Alcalov15,0.0,0.0,0.0,1.0,0.0,
AlePur,1.0,0.0,0.0,0.0,0.0,
AlecThomson,1.0,0.0,6.0,1.0,0.0,
Aleewo,0.0,0.0,0.0,1.0,0.0,
Aleflowers,0.0,0.0,0.0,1.0,0.0,
AlejHdezR96,0.0,0.0,0.0,1.0,0.0,
Alejandro-Gon,0.0,0.0,0.0,1.0,0.0,
AlejandroRomeroG,0.0,0.0,0.0,1.0,0.0,
AleksNeStu,0.0,0.0,0.0,4.0,0.0,
Aleksandar1932,0.0,0.0,0.0,1.0,0.0,
AleksandrUsolcev,0.0,0.0,0.0,1.0,0.0,
Aleksivbg,0.0,0.0,0.0,1.0,0.0,
AleksonPS,0.0,0.0,0.0,1.0,0.0,
AleshaStephens265,0.0,0.0,0.0,1.0,0.0,
AlessandroCotrufo,0.0,0.0,0.0,1.0,0.0,
AlessioBugetti,0.0,0.0,0.0,2.0,0.0,
Alex-666777888,0.0,0.0,0.0,1.0,0.0,
Alex-Vasile,0.0,0.0,2.0,0.0,0.0,
Alex01-ZHU,0.0,0.0,0.0,1.0,0.0,
Alex100day,0.0,0.0,0.0,1.0,0.0,
Alex1124,0.0,0.0,0.0,1.0,0.0,
AlexAndorra,10.0,8.0,11.0,4.0,7.0,
AlexBarriosGlz,0.0,0.0,0.0,1.0,0.0,
AlexBuccheri,0.0,0.0,7.0,0.0,0.0,
AlexGalhardo,0.0,0.0,0.0,1.0,0.0,
AlexHenderson,0.0,0.0,1.0,0.0,0.0,
AlexHill,0.0,0.0,4.0,1.0,0.0,
AlexHls,0.0,0.0,0.0,0.0,2.0,
AlexHuang2,0.0,0.0,1.0,0.0,0.0,
AlexKupreev,0.0,0.0,0.0,1.0,0.0,
AlexKurek,1.0,0.0,0.0,1.0,0.0,
AlexN7-Shepard,0.0,0.0,0.0,1.0,0.0,
AlexStanglEmerson,0.0,0.0,0.0,1.0,0.0,
AlexStratou,0.0,0.0,0.0,4.0,0.0,
AlexTai9,0.0,0.0,0.0,1.0,0.0,
